,stopword,sentiment
984,apalikasinya kenapaya pas cek out suruh isi nomor nik isi nomer nik nya pas klik bilang nomor nik kadaluarsa nggak tolong donggg   butuh kartu vaksin nya  ,negative
985,sumpah aplikasi sampah sih login tinggal nunggu tuju ah kagak sampek pusing  mbok ya kasih fitur scrool,negative
986,sertifikat muncul vaksin nik yg ketik,negative
987,apkikasi knp udah ulang update ttp muncul tuju ngk muncul yg laen,negative
988,ngga masuk yah ko susah bgtapa apk karna ditemoat kerja wajib staf kariyawan donwload tpi malhan ngga,negative
989,download sertifikat vaksin gak muncul,negative
990,cacat dah vaksin sertifikat gak muncul,negative
991,mohon maaf kph tuju nya ga muncul mucul yapdahal udh download hapus tpi tuju nya ga mucul mucul,negative
992,ngga hape tua,negative
993,web vaksin aplikasi vaksin wkwkwk,negative
994,in aplikasi sih aplikasi in sesuai hp android ya daftar bikin akun gak scroll pilihannyahemmmbbb payahhh bilg lyak pakai aplikasi in ,negative
995,tolong aplikasi karna syarat mestujinya scrol,negative
996,abis centang tuju gabisa udah klik syarat privasi bijak mohon sulit masyaraka,negative
997,unduh kartu vaksin,negative
998,gak buka aplikasi,negative
999,aplikasi susah buka,negative
1000,udah vaksin keduayg sertifikat doang,negative
1001,butuh banget aplikasi,negative
1002,instal gk dipake aplikasi toooloool,negative
1003,aplikasi dak dibukagmana,negative
1004,aplikasi fungsi,negative
1005,pakai udah vaksin kali,negative
1006,ga login tolong bantu,negative
1007,ux designnya parah sih mudah user sulit user bingung,negative
1008,aplikasi ni gak sial,negative
1009,ga d buka aplikasi jelek spanjang sejarah,negative
1010,jlek g buka aplikasi y,negative
1011,aplikasai gak gunakangak kasih bintang tar kalo bagus kasih bintang yg bwanyak trimakasih tolong,negative
1012,gimana sih liat sertifikat aja gak bisakecewa,negative
1013,gimana sih x vaksin tp yg muncul doang pas komplain suruh yg vaksin udah globalisasi sulit udah sulit sulit terima kasih ya,negative
1014,aplikasi hang pilih bahasa warga negara bgmn coba ulang kali diinstal ulang tdk,negative
1015,maap error moga,negative
1016,hanyan stuck nyata tuju,negative
1017,aplikasi gak gak login mentok tulis tuju doang,negative
1018,ga masuk masuk ya udah berapakali uinstal downlod tetep aja ga tulis,negative
1019,vaksin x surat vaksin cek aplikasi peduli lindung vaksin,negative
1020,aplikasi baharu bikin susah masyarakat tolong perhati aplikasi,negative
1021,daftar vaksin,negative
1022,aplikasi buka,negative
1023,aplikasi gak geser mentok negara indonesia habis gak,negative
1024,stuck bijak privasi,negative
1025,aplikasi tampil sertifikat vaksin udah update gajelasss,negative
1026,gak,negative
1027,migrasi data vaksin gotong royong vaksin perintah vaksin perintah data input karna peduli lindung daftar terima paksin gotong royong data terima vakasin gotong royong hapus,negative
1028,kecewa vaksin sertifikat ntah gimana lapor email udah bantu proses,negative
1029,ni up date perbaikannyajadi hambat kerja yg scan barcode,negative
1030,blm masukapa keslhan data,negative
1031,sdh downloud gak buka aplikasi peduli lindungisaya sdh vaksin gak lihat sertifikat nya,negative
1032,paksa download,negative
1033,download ga login tulis tuju nya ga muncul udah ikutin saran tulis tetep aja ga muncul tolong engga scrol gitu ,negative
1034,aplikasi nggak scroll nggak log in,negative
1035,ga login ribet,negative
1036,aplikasi nih ga loginbukan nya mudah sulit,negative
1037,vaksin sertifikat vaksin tera,negative
1038,data vaksinasi blum masuk udh,negative
1039,scroll kbawah updateapkh apk hnya yg android yg aja ap solusi yg android jadulsedangkn kmna mna dhruskan inisungguh kecewa,negative
1040,sayang pedulilindungi henti iyasudah gak masuk apikasinya tolong,negative
1041,assalamualaikum vaksin pas download aplikasi lindung sertifikat vaksin muncul muncul tolong kasih cerah nya tolong bantu jadwal vaksin tanggal november tau bantu,negative
1042,sertifikat muncul aplikasi,negative
1043,buka,negative
1044,susah cari hasil sertifikat paksin gak muncul muncul dah vaksin liat gampang,negative
1045,updet gak bisaa buka muncul notif sayang apalikasi henti sayang butuh aplikasi kerjaa,negative
1046,vaksin terima sertifikat vaksin,negative
1047,waduhhh gimana neh downloud gak bs masuk min tolong neh apl nya apain jg gak bs gak nampak tuju nya kamprettt,negative
1048,udh x download gagal daftar trus ga tulis tuju nya gimana ya sy butuh bwt sertifikat vaksin tolong admin bantu sy daftar gabisa tdr sih,negative
1049,ga tau dah bingung semenjak update sertifikat vaksin muncul,negative
1050,aplikasi abal gimana gak,negative
1051,apk update ga login stuck warga negara klik tuju nya tombol palig bawa scroll akibat ga login tolong developer apk nya sulit masuk ruang scan barcode,negative
1052,up date gak pakai henti aplikasi,negative
1053,tolong bikin aplikasi pakai logika isi ttg pake manual mudah zikir suruh skarang ttg mundur cari,negative
1054,d updet tp gk bsa dpakai y,negative
1055,hay gays aplikasi udah download tp gk masuk trus fungsi pajang aja menuhin memori ponsel aja ayo msak dri segi kek gin aja msih amburadul gmna maju,negative
1056,login pilih tuju,negative
1057,vaksin sertifikat nongol sungguh sistem yg nob,negative
1058,gimana ya stuck syarat privasi ga geser kanan kiri,negative
1059,g buka aplikasi inisetiap buka ga,negative
1060,abis download aplikasi pedulilingkungan gk d bukak gmn ya y pilih warga negara gk da tuju mohon sulusi ya trimakasih kominfoid,negative
1061,aplikasi anjeng ngk skroll sih tolong solusi gua udah habis kuota donlot ulang tetep aja ngk,negative
1062,bela bain ngunduh apknyadi oppo af ku g bukasolusi hp buka warga negara sajaterus saran admin apk pedulilindunginich guru koktapi kalo bisaapk terima automatis androidjangan koneksinyacuma hp mahal versi gede adminmaf mksh,negative
1063,gw dah checkout nyangkut status checkout alhasil gw ga checkin konyol banget,negative
1064,sdh download aplikasi udh brp kali tp gk buka,negative
1065,hp layar ga tuji payah ga bsa scroll down,negative
1066,gamau pake apk ni udah vaksin ttep aja pake hadeuh,negative
1067,aplikasi error,negative
1068,download gk login,negative
1069,login peduli lindung terkendalamasih bug diaplikasimohon aplikasi peduli lindung akses mobilitas scan peduli lindungisepertinya server tampung data warga akses aplikasi peduli lindungilibatkan aplikasi gojek bukti server tampung akses driver login bug aplikasisupport it peduli lindung moga cipta inovasi bangsa indones,negative
1070,lokasi aktif pas scan terang loksi aktif mohon perhati,negative
1071,update tan weird tuju tanda verifikasi ga pencet tanda checklist alias ga geser,negative
1072,bagus yg peta lokasiyg susah scan barcodekadang kendala lokasijd gak tau udah lokasi scan barcode belumsehingga scan radius,negative
1073,kacauu ga login,negative
1074,ko login yah udah tekan tuju syarat warga negara indonesia klik ok,negative
1075,udh download hasil pas buka syarat ceklist gak yagimana tindak,negative
1076,check in notif nya lokasi radiusbenerin apknya,negative
1077,kecewa parah aplikasi negeri udah baca kali kali tinggal klik tuju aja hilang gak janga susah masyarakat heii perintah,negative
1078,instal buka hape mahal aplikasi masyarakat tp sulit penggunaanya,negative
1079,ngga masuk aplikasi aplikasi,negative
1080,daftar nomor ponsel pendek brapa digit nomer hp digit,negative
1081,masuk akun sertifikat qr code,negative
1082,ga scroll,negative
1083,aplikasi tablet checklist muncul size font layar atur,negative
1084,udah donwload kagak dipake udh bc syarat bijak tp ceklist mksdnya gmn   ,negative
1085,buruk aplikasi gk nyesuain layar masuk aplikasi web aja gimana aplikasi negara bobrok,negative
1086,aplikasi kali buka tutup,negative
1087,lindung error udah vaksin eh status merah sertifikat vaksin gak muncul suruh vaksin kah chuakzz,negative
1088,slide baca syarat aplikasi buruk buruk buka aplikasi aplikasi nya rusak,negative
1089,admin tolong apk nya apk usaha usaha inout nya scan lambat nangkap barcode nya alas radius gonta ganti jaring ya gitu out nya terkadang kadang mandai alias otomatis data inout nya hilang tolong,negative
1090,aplikasi hapus trus download lg ulang kali hasil gk admin nya ya gitu aja gk ubah,negative
1091,ga,negative
1092,males ngasih bintang gak menguntungkanribetudah vaksin tp sertifikat nya gak kluar,negative
1093,ga login ya muncul pilih warga negara tuju bijak kalo gin susah,negative
1094,vaksin sertifikat,negative
1095,gak masuk aplikasi cuman mentok halaman syarat bijak privasi,negative
1096,apk mudah bagus sulit,negative
1097,ngebuggg,negative
1098,sulit orang banyakentah sdm bajet yg korupsi,negative
1099,ga pakai wni wna susah nih,negative
1100,gak yah hasil vaksinasi sertifikat vaksin laku vaksinasi tolong cek developer nya,negative
1101,gimana aplikasi bom muncul tanda tuju alhasil kerja ribet deh masuk kantor mesti nulisnulis iya kecilin font ga ngaru hapusin aplikasi udh sempet email kendala feedback sertifikat ga mesti scann hadehhh,negative
1102,suruh download gilir downloadsudah tuju gk masuk udah tulis tetep aja gk,negative
1103,tdak ksih bintang buka aja jdi apk,negative
1104,akun vaksin sertifikat gak muncul aplikasi,negative
1105,klik tuju hp ga atur font gimana solusi bumn,negative
1106,login aplikasi hasil kemarin coba log out log in aplikasi nya aplikasi syarat laku kegiataan tolong perintah keluh ditanggapin kasih solusi terimakasih salam sehat,negative
1107,fungsi,negative
1108,gak masuk aplikasi click tuju gak buka,negative
1109,halo downloadtapi masuk tekan tuju syarat nya tpknp yamohon,negative
1110,akun engga masuk ya user not found gimna sih tolong konfirmasi nya pabu nama akun pedulilindungi nedikembarjaya,negative
1111,masuk paksa bug hp redmj note mohon bantu admin,negative
1112,udah masuk aplikasinyatapi suka erorsuka tulis pedulilindungi henti gimana update aplikasi nya,negative
1113,applikasi suka error udah masukin nik nama lengkap informasi salah aneh kali,negative
1114,apk preeet vaksin tdk muncul sertifikat nya kasi nomor adu bilang mohon maaf layan castemer tdk mutu tugas layan sehat mesin yg suruh kecewa,negative
1115,download paksa vaksin,negative
1116,aplikasi lemotsetiap pkee gk bisamasukin dtaa gk bisaakirain sya jaa gk tau nyacomenyaa  trimaksih,negative
1117,alami kali aplikasi update buka aplikasi laku update versi,negative
1118,android gk,negative
1119,org sdh paksa pakai vaksin skrg paksa instals aplikasi pedulilindungi android ga support paksa lg suruh ganti android moga yg bikin susah org akhirat susah sm allah krn bijak yg ga masuk akal,negative
1120,update ceklist tuju bijak dak geser ga login,negative
1121,aplikasi sampah data bocor login ga,negative
1122,update buruk ,negative
1123,aplikasi ngabisin paket ajad wnload udah puluh x tetep gax masuk,negative
1124,sertifikat vaksin muncul aplikasi layan sekalisudah input data,negative
1125,udah klik tuju gak tombol muncul uninstall aplikasi baharu terima kasih,negative
1126,aplikasi sdh wajib kontak cs respon complain kait data,negative
1127,email kali kali tp tindak app sdh update hp dah otak atik cr th yg bikin masuk ttp aj hasilnyaklo cm maap doang sm srh email smua org jg ngelakuinbanyak omong tp dikit tindak yg dibutuhin tindak skg bkn maap thok gk nyaman gk nyamanbikin ssh,negative
1128,kecewa download tidaj buka,negative
1129,aplikasi gak buka ya mohon solusi,negative
1130,ngisi tgl lahir aja susahit nya payah kasih bintang aja jelek banget,negative
1131,update lihat hasil vaksin kode verifikasi ga masuk coba kali kali,negative
1132,gak buka,negative
1133,developer bug masuk button masuk aplikasi scroll case tsb hp layar tolong responsive scroll test hp type layar beda,negative
1134,udh download tp sempet dhapus dlu krn memori hp penuheh pas download lg ko ga loginudh pilih wniudh ceklisin jg syarat tp gitu trus isi,negative
1135,sekolah ngescan barcode masuk kelas login apliksinya gk buka kalo gak bikin aplikasi ya bikin ngribetin orang aja,negative
1136,gak login apk sih kalo google,negative
1137,cotreng syarat doang pilih daerah doang ga muncul indonesia hancur ga vaksin aplikasiny ancur tolong perintah harga vaksin,negative
1138,aplikasi ngaco udah tau kalo syarat pake gabisa login rusak nih aplikasi,negative
1139,aplikasi gak buka ya cuman halaman syarat bijak aja gak,negative
1140,ga logout cek in lokasi,negative
1141,aplikasi ngga udah vaksin udah kedaftsr ko ngga muncul sertifikat nyaa,negative
1142,apk ga udh aktifin gps bilang lokasi gapernah gps nya,negative
1143,udah ulang ulang isi cek sertifikat vaksin hasil nihil atur rumit gimana orang tua yg gak melek teknologi pergi jaraj,negative
1144,update apknya gak gak klik tolong,negative
1145,usul aja sihseharusnya ni apl suport android yg baruyg jadul kalang apl initrima kasih,negative
1146,gak masuk gimana,negative
1147,ketikacek sertifikat vaksin tulis data aplikasi penuh ecek sertifikat vaksin kalo terimakasih,negative
1148,maaf ya nie adminudah baharu susah masuktau gitu mah gx baharu biar ttp masuktolong lg mksh   ,negative
1149,jujur download apk oh ayo diam syarat verivikasi apk   kesal,negative
1150,applikasi ngebug klik muncul niat applikasi,negative
1151,data isi sertifikat akses didownload tolong selesai problem,negative
1152,aplikasi tolol ga ad tombol ngestuck menu doang,negative
1153,ga login,negative
1154,lihat sertifikat vaksin vaksin udah dapet sms,negative
1155,niat engga sih program susah banget ulang ulang engga bhisa perqturan,negative
1156,instal masuk ceklis tuju gak scrol gmna lnjut login aplikasi nya eror,negative
1157,skrg masuk kantor masuk layan publik hrs barcode dr app initp app gak bs log inmentok warga negara indonesia trs ga lg halaman lanjutanparah buruk bgt servernya,negative
1158,kali log in pedulilindung response tdk buka susah masuk nya,negative
1159,mentok syarat penggunaankebijakan gk scroll,negative
1160,habis update susah log in gps nyala bikin boros baterai,negative
1161,kemaren pas download bisacek lokasi vaksinasi gak ya trus gak cek laku vaksinasi ubah aplikasi mudah bikin bingung   ,negative
1162,status merah sertifikat vaksin,negative
1163,aplikasi nya benerin pas tuju g klik ud scroll ga muncul it nya kaya gmn ya aplikasi gin aja ga sanggup kaya,negative
1164,aplikasi aja daftar gajelas,negative
1165,tolong stuck halaman centang bijak privasi login,negative
1166,masuk aplikasi nya d scroll tuju,negative
1167,aplikasi sampah buka aplikasi,negative
1168,udah sertifikat kagak muncul payah urus negeri pinter  ga bener,negative
1169,masuk gmn,negative
1170,aplikasi dach upgrade bagus ga login,negative
1171,pas ngisni e hac klik tgl kbrangkatan sllu otomatis kluar sndiri   aplikasi gx jlas   prjalanan smkin rumit,negative
1172,gk login tampil,negative
1173,haaa nyesel vksin pulkam g sertifikat,negative
1174,tida masuk,negative
1175,,negative
1176,kali daftar gak otp nya nunggu teruuus,negative
1177,gak buka ya apk nya,negative
1178,login,negative
1179,ribet banget aplikasi nyamau login sampe kali display nya gak berubahbikin atur sistem nya blm siapppnyusahin banget atur perintah,negative
1180,apk nya ga buka,negative
1181,vaksin sertifikat yg nama sodara sayaanehdan malas vaksin,negative
1182,aplikasi buruk tanggal lahir klik manual tua usia siksa aplikasi jari tangan ketuk ketemu tanggal lahir verifikasi emailharus ulang gantung aplikasi paraaah,negative
1183,udah didownload warga indo asing udah tuju syarat tetep gak akses muncul ajh,negative
1184,hahahaha ulas bintang hapus aplikasi eror yg maksud tdk scan qr karna hp fitur qr nyamang bodoh tp aplikasi nya yg salah trus scan qr bos,negative
1185,hp deteksi lokasi palsu off langsung mode kembang nya aplikasi palsu,negative
1186,dugunakan,negative
1187,hancur negeri ku tercintasusah cari lokasi vaksin cari aplikasi inimalah aplikasi gak gak bisahanya manfaat orang suruh vaksin aplikasi nya nggak pake sekaliii lihat sertifikat vaksin ya tuhan sembuh aplikasi susah orang,negative
1188,aplikasi gimna ni gak buka udah klik tuju tpi gk beres aplikasi,negative
1189,ga buka aplikasinyapadahal udah dimall,negative
1190,download kali kali sampe kuota zonk tetep aja muncul gambar ceklis gk menu selanjutnyaaduhh gimana bikin pusing aja,negative
1191,aplikasi bosoook liat nomor verifikasi email gilir masuk verifikasi lagiterus terusampe jebot hape gak,negative
1192,login,negative
1193,vaksin xudah pas sya download app ko sertifikat tolong solusi,negative
1194,sertifikat vaksin tunggu tunggu koq ga tampil ga didownload ga cetak    vaksin meoderna yamg kecewa,negative
1195,diupdate kacau aplikasiny sy donlot sertifikat ga biza kacau banget,negative
1196,vaksin nomor nik cek aplikasi vaksin lihat sertifikat vaksinasi gak muncul ya,negative
1197,gblok udah cenglis tuju masuk apknya,negative
1198,sayah kecewa yg bangga aplikasi inih udah tgl lhr salah ko ngeyel pafahal nik sayah ituh asli ktp ol,negative
1199,mas bro admin ga bs presisi layar aplikasi,negative
1200,aplikasi geser,negative
1201,log in web kagak dikirimkirim kode verifikasi x ngulang kaga dikirimkirim log in aplikasi ga scroll kagak gabisa dibenerin kerja cek sertif vaksin sulit,negative
1202,gk beguna lht sertifikat vaksin aja gk bsa gbis paket download apk daftarkn akun,negative
1203,layar nya warna hitam scan laku scan barcode mohon solusi terimakasih ,negative
1204,masuk aplikasi yg suruh baca syarat bijak privasi udah diceklis ga jgn sulit kali vaksin tolong respon developer aplikasi menteri kait,negative
1205,aplikasi bug,negative
1206,masuk aplikasi,negative
1207,hadehh ken ngecek aja ribet ga scroll udah yg kasih rating jlekkeluhan diem aja gilir urus duit mah cepet,negative
1208,ni ya udah vaksin x sertifikat yg doang masuk vaksin yg tera sertifikat lha vaksin yg gimana udah cari manual sesuai tanggal vaksin g temu konsul call centernya jg g nyambung terang sibuk,negative
1209,sertifikat vaksin gak muncul gimana tolong diberitahu,negative
1210,update gak masuk padah no email,negative
1211,mohon maaf tolong bantuannyakenapa peduli lindung ku g bukasudah kali kali download layar buka pilih warganegara pilih indonesia g bisatolong bantu,negative
1212,kecewasetiap klik sertifikatselalu nik daftar vaksinpastikan vaksin,negative
1213,apps gak buka,negative
1214,halo peduli lindung mohon aplikasi daftar aja kendala teknis aplikasi,negative
1215,kaga anjir liat sertifikat vaksin aja susah udah ilang nteh kaga banget asu,negative
1216,sdh vaksin tp tdk bsa buka sertifikat blm lg kode otp ny g sy terima,negative
1217,gak ngerti aplikasi serba susah yg paham ,negative
1218,aggreement tombol aggreenya gak gak pakai deh,negative
1219,respon salah input data,negative
1220,parah ga login tampil tuju ga scroll gin aplikasi wajib akses aja ga,negative
1221,susah andoid gabisa login gaada tulis tuju penuh syarat,negative
1222,udah bolak download tetetp aja ga log in,negative
1223,apps nya ga buka dr sdh centang tuju tp ga gmana solusi,negative
1224,masuk aplikasi pedulilindungi gk daftarin gimna solusi,negative
1225,gak buka aplikasi gak mutu sdh download gak buka,negative
1226,aplikasi gak komplit daftar tuju gak bisapayah,negative
1227,ajar,negative
1228,aplikasi gak masak gak geser aplikasi nya nyoba pakek hp lgi geser tpi gak muncul sertifikat vaksin nya gak aplikasi nya,negative
1229,aplikasi gk bugnya udh masukin nik bener bilang sesuai ktp,negative
1230,gak download sertifikat vaksin,negative
1231,aplikasi beta ga buka,negative
1232,gak stuck halaman syarat bijak privasi tombol next nya gak,negative
1233,apps nya buka,negative
1234,gimana ya aplikasi vaksin dosis tulis setifikat nya ya,negative
1235,ko ga login sih gimana nya klo ga buka aplikasi nya,negative
1236,aplikasi jelek,negative
1237,aplikasi jalan paksa gg nyusahin doang,negative
1238,deteksi lokasi  benerin lg dah dev aplikasi biar versi android versi,negative
1239,sertifikat gak muncul vaksin,negative
1240,knpa udah vcr ko hasil nya gx d apk bikin ribet ajamana terbang,negative
1241,ga bsa dbuka gmnaaakluar wni wnacentang dah tuju yo ttp ga bsaapp yg bagong skli,negative
1242,aplikasi parahmasak iya udah vaksinkok beraktipitas keramaiandan parah status pake aplikasi vaksinasi zona zona merah aplikasi rugi masyarakat,negative
1243,abis diupdate ga masuk ya suruh milih warga negara pencet tuju abis pencet log in pencet manaaa,negative
1244,sertifikat vaksin gak muncul x faksinkenapa gak muncul tulis kali vaksin sajakenapa,negative
1245,udah vaksin sertifikat gk,negative
1246,tap scan mall stasiun gak aplikasi jelek bikin ribet aja udh update gak,negative
1247,download apk emang butuh gak login yaa kecewa banget sih download gak pakai,negative
1248,kelas aplikasi perintah cacat gin yahh pakai gimana aplikasi syarat bijak privasi ,negative
1249,aplikasi tuju bisnis bantu sosial ekonomi rakyat indonesia,negative
1250,apk susah akses bikin batre hp cepat habis ngisi tanggal lahir manual,negative
1251,aplikasi dukung utk hp android jadul mama sampe gak masuk mall garagara scan pas up date aplikasi gak log in untung scan via gojekshopeetokopedia yg hp adroid versi pakai gojek shopee tokopedia aja scaningnya simple,negative
1252,aplikasi jelek epribadeh,negative
1253,ga buka data peduli lindung,negative
1254,pedulilindungi buka update mohon bantu dperbaiki,negative
1255,aplikasi nya jelek banget ngisi tgl lahir nya susah bgt,negative
1256,ganti nmr tlfn karba nmr tlfn yg aktif,negative
1257,sertifikat nya ngak,negative
1258,buruk solusi buruk,negative
1259,apk rusak gak login hp inch layar potong gak optimal perintah,negative
1260,ribet susah masyarakat,negative
1261,aplikasi yg serupasoalnya download hapusdownload masuk,negative
1262,udah menthok mpe tuju doang habis zonk gak diapain trus mesti wajib diinstal sih,negative
1263,pepet install app klik tombol tuju solusi,negative
1264,daftar klik tuju size font,negative
1265,tekan perintah wajib vaksin kartu vaksin syarat gw mah ogah     lihat aja tuh aplikasi ngasih bintang arti rakyat tekan paksa duit tes pcr pergi tanggung perintah perintah sengsara rakyat sih ,negative
1266,aplikasi nya gabisa x install uninstall mohon selesai kirim email email jiga gabisa solusi,negative
1267,aneh ni apk udah cek in pas cek out notif kalo cek in ,negative
1268,tampil layar potong tombol lihat stuck tampil syarat bijak privasi font size ubah tombol muncul moga handphone tipe layar nya aplikasi,negative
1269,gak bagus hp j prime,negative
1270,payah udah ceklis nyata tuju ga scroll gimana step udah sempet uninstall install tetep aja ga scrolling tolong minjem hp orang gara doang,negative
1271,apps nyaa bikin emosi org wajib pake apps tp gk login sampahh bgttmana mpe skrng sertifikat vaksin,negative
1272,download susah masuk ribet bgt sih aplikasi,negative
1273,download aja udah ga diapain aneh,negative
1274,cek sertifikat vaksin aja ga bisaa,negative
1275,aflikasi batas zona hijau scan barcode,negative
1276,gagal check in sesuai syarat,negative
1277,ko g bsa masuk sih gimana nih,negative
1278,pasuk aplikasi pilih tuju pilih next yg pakai,negative
1279,jelek aplikasi nya ngehambat urus scan barcode aplikasi gk kecewa,negative
1280,masuk app nya susah mentok peelrsyaratan privasi aja,negative
1281,susah rakyat sja aplikasi klu mmng realisasi sllu aplikasi saran sya lgi aplikasi karen simple praktis ecek mendounlod sertifikat laku scane barcode sya susah menscane barcode sya pergi aplikasi update,negative
1282,devlop tolong buka trus pilih wargakenegaran udah centang tuju gk menu hp,negative
1283,daftar aja ribet dha lgsg masukin nomor ribet bgt udah pencet tuju,negative
1284,ko susah log in cek sertifikat vaksin,negative
1285,indonesia bodoh masyarakat gagal mulu login stres verivikasi robot mulu,negative
1286,ga masuk udah centang syarat,negative
1287,ngga buka,negative
1288,aplikasi yg repot diinstall berulangkali,negative
1289,kartu vaksin muncul lihat kartu vaksin,negative
1290,sulit buka aplikasi dukung benah,negative
1291,kecewa aplikasi kemaren buka gak tuju ajadasar aplikasi spah,negative
1292,gak d buka wlopun udah klik tuju,negative
1293,aplikasi akses mohon,negative
1294,aplikasi canggih bijak privasi ga secrol gimana log intolong hrs pake layar gmn yg tlng cepat rakyat bnyk yg tunggu app canggih,negative
1295,tolong karna sertivikat vaksin teman teman dapet tolong yak terima kasih,negative
1296,tolong aplikasi ude ikutin gak login akun,negative
1297,knpa udh download gk masuk nya sih,negative
1298,gak buka daftar akun web jg ga,negative
1299,buka,negative
1300,iy buruk aq sendat tampil gagal vaksin kecwa aq nunggu bru buka app ngk,negative
1301,nik benartapi tetep aja gak bisaaaini sekolah,negative
1302,astaga gimana mohon bantu,negative
1303,kartu vaksin gk sihkok aplikasi gk nunjukin sertifikat udah vaksin dr minggu lalukasih solusi donk cuman atur aja,negative
1304,kode verifikasi kirim daftar,negative
1305,aplikasi erroringin data sertifikat vaksin ngk tombol tekan,negative
1306,registrasi,negative
1307,henti halaman update klik tuju alih halaman login,negative
1308,aplikasi perintah koq kes  an nya yabug nya,negative
1309,isi tanggal lahir pindah pindah arah ketik,negative
1310,aplikasi woii notif sayang nya aplikasi peduli lindung henti aplikasi nya salah hp gua aneh gakk gunaa gua kritik das orang gila kena covid orang gila sehat suka makan kotor kena covid mati nya rumah sakit mohon yaa makas,negative
1311,login agreement,negative
1312,akun hp sy karna yg baca hp sy,negative
1313,hapus aja aplikasi klo ga digunain tipe hp aplikasi tpi sulit gunain apk nya apk ga jelass,negative
1314,susah donlowd sertifikat vaksin vaksin tulis data lengkap,negative
1315,wajib vaksin hrus sertifikat vaksin gilir vaksin suruh download pedulilindungi sdh download lha apl masak gc buka lha ne maksa hrus srtifikat dll fungsi sdangkan wat leat tnda bukti apl pedulilindungi gk buka sya tgl nov smpe downlod hapus trus karna gk buka buka penasaran besok e downlod lgi aja gc buka aplnya tolong jgn sulit lgi min admin,negative
1316,udah vaksin terang vaksin jengkel,negative
1317,tolong dibenerin sistem install masuk kode verifikasi ga uninstall coba install ulang sertifikat vaksin ga buka suruh input nik input nik tulis input nik aneh banget tolong tingkat wajib install app kualitas error mulu ga kesel,negative
1318,upgrade susah masuk,negative
1319,log in aja ga pake app klo masuk elah benerin napa,negative
1320,nich vaksin udah susah kerja suruh download aplikasi uda download gk buka gara hp mintak full layar gua cari makan aja susah tanggung apk gk sensara rakyat,negative
1321,pretlah pdhal tuk akses fasilitas publik knp hrs henti ssh tuk pakai,negative
1322,aplikasi aneh banget diupdate check in stasiun warna merah ket vaksin jelasjelas aplikasi sertivikat vaksin unduh bt aja untung aja gojek trus check in situ ps gojek check in utk orang jdi tinggal masukin nama nik ktp lumayan solusi yg hpnya jadul orang tua yg gak hp,negative
1323,aplikasi ngbug tombol tuju d hp redmi a tolong d,negative
1324,kerja check in chek out tpi nggak ya udah hapus install mohon,negative
1325,tampil nya gabisa barcod,negative
1326,masuk aplikasi nya,negative
1327,aplikasi bagus gk buka sekala udah diunistal salah sertifikat vaksin gk buka lot,negative
1328,apl eror pakai ebsensi kerja bikin ruwet pulang check out otomatis bikin ruwet,negative
1329,sertifikat vaksin muncul app buka d web sertifikat download app web aja searching dada cek sertifikat vaksin,negative
1330,tolong aplikasi publish smartphone kentang masuk aplikasi susah centang tuju syarat susah ampun,negative
1331,gk buka duhh gmna nihh,negative
1332,pasu identitas vaksin tekan tulis tulis tombol vaksin kali,negative
1333,install ulang aplikasi tdk bs masuk aplikasi bs akses,negative
1334,centang nyata tuju pilih berkalikali uninstal instal,negative
1335,stak syarat bijak aja,negative
1336,buka klik centang bijak privasi,negative
1337,aplikasi kotokudah download berxx kgk klo kagak butuh kerja kgk gw download,negative
1338,apaapaan sipas masuk aplikasi syarat bijak privasi baruterus ngisi data lihat sertifikat vaksin sayatolong donk aplikasi nya dibenerin biar,negative
1339,vaksin tp lht hasil susah mnta ampyunnn,negative
1340,aplikasi gak suruh download udah instal stuck tanda ceklis rating aja perbaikin kerja bener,negative
1341,buruk gagal data sesuai loading lambat aplikasi yg wajib layan buruk,negative
1342,klo mo check in gagal,negative
1343,parah gak login update aplikasi opo ikiii,negative
1344,gimana cerita nya tanggal lahir sesuai data kartu keluarga ijazah aja ktp sesuai pas cek sertifikat vaksinasi terang nya tanggal lahir sesuai rugi ecek sertifikat vaksinasi kalo lamar kerja,negative
1345,download app ko gabisa masuk tolong sistem,negative
1346,sebenernya aplikasi manfaat gak sih,negative
1347,aplikasi gaje rusak gw dah masuk nik ko ga terima            ,negative
1348,vaksin dosis status vaksin merah sertifikat fasilitas publik bantu mohon update aplikasi terima kasih,negative
1349,wkwkwkwk ga fungsi apk blm masak gmn maju wkwkwkw ceklis stuju ga tombol ok nya gmn nerusin login wkwkwkw,negative
1350,aplikasi parahmlh ngga buka,negative
1351,login app nya,negative
1352,daftar tuju bijak,negative
1353,ga buka,negative
1354,,negative
1355,verifikasi no hp ga ,negative
1356,nggak bantu sertifikat vaksin nggak sedia vaksin kemaren,negative
1357,aplikasi bego bikin susah masyarakat aja,negative
1358,stuck syarat bijak privasi,negative
1359,gak scan internet gps hidup,negative
1360,hp,negative
1361,aplikasi ga login aja susah,negative
1362,coba tetep gak otp valid udah kadaluwarsa mah gercep masukin kode,negative
1363,jwelek cek sertifikat aja belibet ga muncul muncul udah input nik profil aplikasi lengkap tp sertifikat tdk lihat payah aplikasi,negative
1364,orang yg bingung gk login update aplikasi sedih lihat orang orang mohon cepat,negative
1365,kode verifikasi aja,negative
1366,cetak,negative
